Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,13073.555664,13109.170898,12955.633789,13063.210938,13063.210938,28724451794
2020-06-09,13067.048828,13147.802734,13023.355469,13147.347656,13147.347656,31833021280
2020-06-10,13145.226563,13276.434570,13036.727539,13253.523438,13253.523438,34518676148
2020-06-11,13253.501953,13333.488281,12614.494141,12711.013672,12711.013672,41244460346
2020-06-12,12709.526367,12932.882813,12671.918945,12883.566406,12883.566406,30725609173
2020-06-13,12883.418945,12900.373047,12768.284180,12876.001953,12876.001953,23868245416
2020-06-14,12879.095703,12885.505859,12739.153320,12803.015625,12803.015625,25903583961
2020-06-15,12801.989258,12896.668945,12290.478516,12791.004883,12791.004883,36136581920
2020-06-16,12795.830078,12965.883789,12726.539063,12907.760742,12907.760742,29184533677
2020-06-17,12902.021484,12919.164063,12650.810547,12871.532227,12871.532227,27395680257
2020-06-18,12873.313477,12874.962891,12686.151367,12793.938477,12793.938477,24155673479
2020-06-19,12791.836914,12794.756836,12621.575195,12640.250000,12640.250000,26717885071
2020-06-20,12644.253906,12785.804688,12584.944336,12700.569336,12700.569336,23313296616
2020-06-21,12698.644531,12794.155273,12664.256836,12668.613281,12668.613281,20866871037
2020-06-22,12664.916992,13056.004883,12668.381836,13028.325195,13028.325195,28496005406
2020-06-23,13022.058594,13066.631836,12929.425781,13041.349609,13041.349609,23031642516
2020-06-24,13044.723633,13117.090820,12620.234375,12707.974609,12707.974609,25872351423
2020-06-25,12708.678711,12741.895508,12410.433594,12634.471680,12634.471680,25386798592
2020-06-26,12629.265625,12700.009766,12478.419922,12541.285156,12541.285156,25103964291
2020-06-27,12548.000977,12602.730469,12315.859375,12380.426758,12380.426758,23641682587
2020-06-28,12384.627930,12588.682617,12284.801758,12506.509766,12506.509766,19916227978
2020-06-29,12501.649414,12620.326172,12371.510742,12552.252930,12552.252930,22480712343
2020-06-30,12545.051758,12590.163086,12430.247070,12404.780273,12404.780273,21361266758
2020-07-01,12415.628906,12656.676758,12356.554688,12543.140625,12543.140625,21708531243
2020-07-02,12546.964844,12593.850586,12277.391602,12380.239258,12380.239258,22171501619
2020-07-03,12382.183594,12485.768555,12275.120117,12313.750977,12313.750977,17722659652
2020-07-04,12309.590820,12443.824219,12268.121094,12374.977539,12374.977539,16654280664
2020-07-05,12366.309570,12415.216797,12172.250000,12296.145508,12296.145508,17485470182
2020-07-06,12294.664063,12693.783203,12274.037109,12693.783203,12693.783203,24220899641
2020-07-07,12658.157227,12665.739258,12487.857422,12588.000977,12588.000977,18829262545
2020-07-08,12589.011719,12775.436523,12579.291992,12745.560547,12745.560547,26634359375
2020-07-09,12745.101563,12747.667969,12549.810547,12599.851563,12599.851563,24445674056
2020-07-10,12593.589844,12626.642578,12419.740234,12614.864258,12614.864258,22921808506
2020-07-11,12613.102539,12634.882813,12507.022461,12556.244141,12556.244141,18004640807
2020-07-12,12557.208008,12663.693359,12496.851563,12613.803711,12613.803711,19651729174
2020-07-13,12614.762695,12629.256836,12551.052734,12580.096680,12580.096680,23843600753
2020-07-14,12573.413086,12638.465820,12494.701172,12571.093750,12571.093750,24596285149
2020-07-15,12569.303711,12616.575195,12394.107422,12417.105469,12417.105469,21402065194
2020-07-16,12415.948242,12451.356445,12300.190430,12394.213867,12394.213867,21326918152
